node,value,rank,metric
ABBV,332.0,1,in_degree
ABEO,311.0,2,in_degree
ABSI,301.0,3,in_degree
ABT,280.0,4,in_degree
NUS,44.0,5,in_degree
ABBV,4.0,1,out_degree
ENOV,4.0,2,out_degree
SVRA,4.0,3,out_degree
NUS,4.0,4,out_degree
XOMA,4.0,5,out_degree
ABBV,336.0,1,total_degree
ABEO,314.0,2,total_degree
ABSI,304.0,3,total_degree
ABT,283.0,4,total_degree
NUS,48.0,5,total_degree
ABBV,163.39778316796702,1,in_degree_w
ABEO,133.91721124277623,2,in_degree_w
ABT,118.08123273967837,3,in_degree_w
ABSI,97.71187543906188,4,in_degree_w
NUS,34.239454803185204,5,in_degree_w
XOMA,3.963257732302651,1,out_degree_w
PRVA,3.7073602235836933,2,out_degree_w
NTLA,3.6425359787403413,3,out_degree_w
HOLX,3.574403276992075,4,out_degree_w
NUS,3.5420603001398843,5,out_degree_w
ABBV,166.22419884257718,1,total_degree_w
ABEO,135.89669214598896,2,total_degree_w
ABT,119.57484736091567,3,total_degree_w
ABSI,98.69319248919722,4,total_degree_w
NUS,37.78151510332509,5,total_degree_w
ABBV,0.09111782953478484,1,pagerank
ENOV,0.053916273788099996,2,pagerank
SVRA,0.05099027360679483,3,pagerank
ABEO,0.04500357140204251,4,pagerank
NUS,0.041189874762880094,5,pagerank
FDMT,0.004106183370926865,1,hub
UHS,0.004091454231505636,2,hub
SIBN,0.0040873734864970476,3,hub
IRON,0.004073326270509008,4,hub
MD,0.00406475740750472,5,hub
ABBV,0.2761316314945808,1,authority
ABEO,0.23630527689770178,2,authority
ABT,0.210057321665033,3,authority
ABSI,0.17313252566173593,4,authority
COR,0.011358149675936744,5,authority
ABBV,0.07059519868380133,1,betweenness
OMER,0.0428416649110663,2,betweenness
ABEO,0.03413890310089185,3,betweenness
TNDM,0.02028972422026264,4,betweenness
ENOV,0.018639459877007655,5,betweenness
ABBV,0.4180042853848119,1,closeness
ABEO,0.322719616951586,2,closeness
ENOV,0.28479545541671514,3,closeness
ABT,0.27759436154281936,4,closeness
IDXX,0.2733652679161698,5,closeness
SVRA,0.4025950634684138,1,eigenvector
ENOV,0.3801131198828742,2,eigenvector
NUS,0.3462424268830332,3,eigenvector
HOLX,0.32675699726633295,4,eigenvector
XOMA,0.2978942330270038,5,eigenvector
