node,value,rank,metric
ABBV,261.0,1,in_degree
ABEO,253.0,2,in_degree
ABT,245.0,3,in_degree
ACAD,230.0,4,in_degree
AKRO,45.0,5,in_degree
UHS,4.0,1,out_degree
AKRO,4.0,2,out_degree
IDXX,4.0,3,out_degree
NRC,4.0,4,out_degree
CCCC,4.0,5,out_degree
ABBV,264.0,1,total_degree
ABEO,256.0,2,total_degree
ABT,248.0,3,total_degree
ACAD,233.0,4,total_degree
AKRO,49.0,5,total_degree
ABBV,105.21997936858058,1,in_degree_w
ABT,101.38380724555405,2,in_degree_w
ABEO,74.04824400434005,3,in_degree_w
ACAD,63.25944947941808,4,in_degree_w
AKRO,33.76363879332693,5,in_degree_w
RNA,3.8779104237576454,1,out_degree_w
REPL,3.618964932105448,2,out_degree_w
UHS,3.542260799322591,3,out_degree_w
AKRO,3.5303939263794284,4,out_degree_w
MYGN,3.4890660748534272,5,out_degree_w
ABBV,106.39486343061968,1,total_degree_w
ABT,102.5890708691741,2,total_degree_w
ABEO,74.87101275963147,3,total_degree_w
ACAD,63.9780354677685,4,total_degree_w
AKRO,37.294032719706365,5,total_degree_w
ABT,0.1698094655962754,1,pagerank
ABBV,0.15776880712672622,2,pagerank
ABEO,0.13428761959048505,3,pagerank
ACAD,0.12416503096651865,4,pagerank
UHS,0.0283606740759336,5,pagerank
NEOG,0.005524282429833062,1,hub
SPRY,0.005385689424838287,2,hub
MEDP,0.005313142841275974,3,hub
INSM,0.005217842452284808,4,hub
ANNX,0.005136672424194962,5,hub
ABT,0.2668984657988103,1,authority
ABBV,0.26686711649479794,2,authority
ABEO,0.1911042282303476,3,authority
ACAD,0.16432320150169802,4,authority
AKRO,0.016223864864694043,5,authority
PTCT,0.009889483065953653,1,betweenness
NRC,0.00845632798573975,2,betweenness
AMGN,0.007885918003565062,3,betweenness
RNA,0.007664884135472371,4,betweenness
CCCC,0.00746524064171123,5,betweenness
ABBV,0.3006471759979466,1,closeness
ABT,0.26896848271021206,2,closeness
ABEO,0.23108852851179865,3,closeness
ACAD,0.1990832185544395,4,closeness
IDXX,0.16612291958589973,5,closeness
IDXX,0.4305574851615728,1,eigenvector
UHS,0.4256898007906736,2,eigenvector
AKRO,0.4021817329329127,3,eigenvector
CCCC,0.3254823988414756,4,eigenvector
NRC,0.2994366960355111,5,eigenvector
