node,value,rank,metric
ABBV,302.0,1,in_degree
ABEO,288.0,2,in_degree
ABSI,275.0,3,in_degree
ABT,264.0,4,in_degree
ACHV,59.0,5,in_degree
ACHV,4.0,1,out_degree
BDTX,4.0,2,out_degree
ABT,4.0,3,out_degree
PNTG,4.0,4,out_degree
ABBV,4.0,5,out_degree
ABBV,306.0,1,total_degree
ABEO,291.0,2,total_degree
ABSI,278.0,3,total_degree
ABT,268.0,4,total_degree
ACHV,63.0,5,total_degree
ABBV,155.18235513490612,1,in_degree_w
ABT,137.0638977565812,2,in_degree_w
ABEO,129.00139225533246,3,in_degree_w
ABSI,110.74711732190788,4,in_degree_w
ACHV,48.30463481844502,5,in_degree_w
RCKT,3.9073433406849887,1,out_degree_w
PRCT,3.895773007055393,2,out_degree_w
ABT,3.8671104727978376,3,out_degree_w
ANAB,3.8411160804369793,4,out_degree_w
ACHV,3.783597264308428,5,out_degree_w
ABBV,158.24496547511157,1,total_degree_w
ABT,140.93100822937905,2,total_degree_w
ABEO,130.51609603905735,3,total_degree_w
ABSI,112.18213892522881,4,total_degree_w
ACHV,52.08823208275344,5,total_degree_w
ACHV,0.07401561235372645,1,pagerank
BDTX,0.07198883122995424,2,pagerank
ABT,0.056086664554869235,3,pagerank
PNTG,0.05359890078661956,4,pagerank
ABBV,0.04814356928494016,5,pagerank
MSA,0.004553403158760622,1,hub
DMAC,0.004428817562998631,2,hub
KROS,0.004382617072228841,3,hub
VSTM,0.004363578215811702,4,hub
ITGR,0.004337287545986011,5,hub
ABBV,0.25484480566441264,1,authority
ABT,0.23514831310006112,2,authority
ABEO,0.21823925715021086,3,authority
ABSI,0.19067795966969045,4,authority
ACHV,0.015238672137000555,5,authority
ABBV,0.06328693451439418,1,betweenness
HAE,0.03582199725825161,2,betweenness
BDTX,0.023057049456922916,3,betweenness
ABT,0.017589370452388484,4,betweenness
CAPR,0.017251924496467362,5,betweenness
ABT,0.3830272588627464,1,closeness
ACHV,0.3664750712887547,2,closeness
ABBV,0.3575023718204855,3,closeness
ACRS,0.34524745436593235,4,closeness
BDTX,0.3436218084621588,5,closeness
ACHV,0.4610535023072581,1,eigenvector
BDTX,0.43179737143713304,2,eigenvector
PNTG,0.3802857322154643,3,eigenvector
RCKT,0.34752276626907685,4,eigenvector
ACRS,0.21115391539972722,5,eigenvector
