symbol,name,lastsale,netchange,pctchange,marketCap,url
COO,"The Cooper Companies, Inc. Common Stock",$81.40,4.37,5.673%,"16,183,046,169",/market-activity/stocks/coo
NBIX,"Neurocrine Biosciences, Inc. Common Stock",$155.51,1.29,0.836%,"15,505,233,096",/market-activity/stocks/nbix
MEDP,"Medpace Holdings, Inc. Common Stock",$548.12,3.35,0.615%,"15,439,566,391",/market-activity/stocks/medp
ULS,UL Solutions Inc. Class A Common Stock,$76.60,-0.14,-0.182%,"15,397,537,201",/market-activity/stocks/uls
RVMD,"Revolution Medicines, Inc. Common Stock",$79.64,1.16,1.478%,"15,395,989,270",/market-activity/stocks/rvmd
SOLV,Solventum Corporation Common Stock,$85.43,0.17,0.199%,"14,817,624,795",/market-activity/stocks/solv
UHS,"Universal Health Services, Inc. Common Stock",$231.08,0.49,0.212%,"14,438,452,865",/market-activity/stocks/uhs
BBIO,"BridgeBio Pharma, Inc. Common Stock",$73.64,-1.12,-1.498%,"14,191,076,989",/market-activity/stocks/bbio
SMMT,Summit Therapeutics Inc. Common Stock ,$18.31,-0.50,-2.658%,"13,630,742,871",/market-activity/stocks/smmt
IONS,"Ionis Pharmaceuticals, Inc. Common Stock",$81.68,-0.13,-0.159%,"13,230,068,420",/market-activity/stocks/ions
MDGL,"Madrigal Pharmaceuticals, Inc. Common Stock",$577.30,-8.91,-1.52%,"13,111,302,766",/market-activity/stocks/mdgl
GH,"Guardant Health, Inc. Common Stock",$102.02,-6.50,-5.99%,"12,858,711,900",/market-activity/stocks/gh
VTRS,Viatris Inc. Common Stock,$10.93,0.17,1.58%,"12,588,844,701",/market-activity/stocks/vtrs
GMED,"Globus Medical, Inc. Class A Common Stock",$91.10,2.36,2.659%,"12,192,748,023",/market-activity/stocks/gmed
EXEL,"Exelixis, Inc. Common Stock",$44.36,-0.01,-0.023%,"11,893,455,285",/market-activity/stocks/exel
PEN,"Penumbra, Inc. Common Stock",$300.66,5.94,2.015%,"11,774,500,137",/market-activity/stocks/pen
EHC,Encompass Health Corporation Common Stock,$112.50,-0.52,-0.46%,"11,319,297,413",/market-activity/stocks/ehc
ALGN,"Align Technology, Inc. Common Stock",$157.21,0.37,0.236%,"11,279,816,714",/market-activity/stocks/algn
ELAN,Elanco Animal Health Incorporated Common Stock,$21.90,-0.09,-0.409%,"10,881,310,059",/market-activity/stocks/elan
MRNA,"Moderna, Inc. Common Stock",$27.70,2.21,8.67%,"10,821,822,482",/market-activity/stocks/mrna
RNA,"Avidity Biosciences, Inc. Common Stock",$71.63,0.09,0.126%,"10,792,903,399",/market-activity/stocks/rna
ENSG,"The Ensign Group, Inc. Common Stock",$177.97,0.03,0.017%,"10,308,873,631",/market-activity/stocks/ensg
BMRN,BioMarin Pharmaceutical Inc. Common Stock,$53.40,-0.42,-0.78%,"10,258,905,970",/market-activity/stocks/bmrn
TECH,Bio-Techne Corp Common Stock,$61.68,-1.86,-2.927%,"9,610,527,398",/market-activity/stocks/tech
BAX,Baxter International Inc. Common Stock,$18.54,0.06,0.325%,"9,530,594,625",/market-activity/stocks/bax
RGEN,Repligen Corporation Common Stock,$164.98,-0.78,-0.471%,"9,286,847,770",/market-activity/stocks/rgen
CRL,"Charles River Laboratories International, Inc. Common Stock",$184.31,0.27,0.147%,"9,070,903,460",/market-activity/stocks/crl
