node,value,rank,metric
ABBV,335.0,1,in_degree
ABEO,326.0,2,in_degree
ABSI,318.0,3,in_degree
ABT,300.0,4,in_degree
HUM,90.0,5,in_degree
HUM,4.0,1,out_degree
PRVA,4.0,2,out_degree
NRC,4.0,3,out_degree
VSTM,4.0,4,out_degree
KURA,4.0,5,out_degree
ABBV,338.0,1,total_degree
ABEO,329.0,2,total_degree
ABSI,321.0,3,total_degree
ABT,303.0,4,total_degree
HUM,94.0,5,total_degree
ABSI,135.75232623398745,1,in_degree_w
ABBV,126.29559414637295,2,in_degree_w
ABEO,122.6481612798588,3,in_degree_w
ABT,109.89879517729794,4,in_degree_w
HUM,69.0343115644021,5,in_degree_w
DGX,3.8770833716491095,1,out_degree_w
PRVA,3.8704834255100264,2,out_degree_w
HUM,3.690287776662112,3,out_degree_w
VSTM,3.626149641713236,4,out_degree_w
AVIR,3.621167269977039,5,out_degree_w
ABSI,137.3431678003166,1,total_degree_w
ABBV,127.5298026850113,2,total_degree_w
ABEO,124.06627525334473,3,total_degree_w
ABT,111.26212390786345,4,total_degree_w
HUM,72.72459934106422,5,total_degree_w
ABSI,0.14627155945418682,1,pagerank
ABBV,0.14395148022936746,2,pagerank
ABT,0.13910533884562798,3,pagerank
ABEO,0.1369005222910583,4,pagerank
HUM,0.04533592139332074,5,pagerank
REGN,0.004026678838161946,1,hub
AVR,0.003988842974158651,2,hub
BCAX,0.0039766523580134945,3,hub
DXCM,0.003913105652052474,4,hub
TNYA,0.003881945897042788,5,hub
ABSI,0.24907434883348248,1,authority
ABBV,0.2249644212274537,2,authority
ABEO,0.22273200966144222,3,authority
ABT,0.20203952846835188,4,authority
HUM,0.019351436903351543,5,authority
CDRE,0.007838459572292749,1,betweenness
HUM,0.006164266848428048,2,betweenness
MBX,0.0059129249382295305,3,betweenness
ENSG,0.0058831047115958076,4,betweenness
PEN,0.005538042089119877,5,betweenness
ABBV,0.267956607629326,1,closeness
ABSI,0.2478150220473444,2,closeness
ABEO,0.2313183803291147,3,closeness
ABT,0.2244422703863966,4,closeness
HUM,0.19703492636237785,5,closeness
HUM,0.5673888609057303,1,eigenvector
NRC,0.37649123652097133,2,eigenvector
PRVA,0.3534572266395461,3,eigenvector
VSTM,0.3317038972264338,4,eigenvector
KURA,0.2972763063836235,5,eigenvector
